I260425 10:51:17.699061 1037 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r10/1:/Table/{5-6},raft] 50  rejected lease request repl=(n3,s3):2 seq=2 start=1777114277.615553885,0 type=LeaseExpiration exp=1777114283.624699938,0 pro=1777114277.624699938,0 acq=Request; current lease repl=(n3,s3):2 seq=2 start=1777114277.615553885,0 type=LeaseExpiration exp=1777114283.624699938,0 pro=1777114277.624699938,0 acq=Request; err: cannot replace lease repl=(n3,s3):2 seq=2 start=1777114277.615553885,0 type=LeaseExpiration exp=1777114283.624699938,0 pro=1777114277.624699938,0 acq=Request with repl=(n3,s3):2 seq=2 start=1777114277.615553885,0 type=LeaseExpiration exp=1777114283.624699938,0 pro=1777114277.624699938,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:17.705286 967 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n1,s1] 51  provided support for store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777114280.650946223,0}
I260425 10:51:20.670265 1012 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r41/1:/Table/3{7-8},raft] 52  rejected lease request repl=(n2,s2):2 seq=2 start=1777114280.609591079,0 type=LeaseExpiration exp=1777114286.618406496,0 pro=1777114280.618406496,0 acq=Request; current lease repl=(n2,s2):2 seq=2 start=1777114280.609591079,0 type=LeaseExpiration exp=1777114286.618406496,0 pro=1777114280.618406496,0 acq=Request; err: cannot replace lease repl=(n2,s2):2 seq=2 start=1777114280.609591079,0 type=LeaseExpiration exp=1777114286.618406496,0 pro=1777114280.618406496,0 acq=Request with repl=(n2,s2):2 seq=2 start=1777114280.609591079,0 type=LeaseExpiration exp=1777114286.618406496,0 pro=1777114280.618406496,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:20.674562 967 15@kv/kvserver/storeliveness/supporter_state.go:319 ⋮ [T1,Vsystem,n1,s1] 53  provided support for store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:0 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777114283.636232940,0}
I260425 10:51:21.737178 1016 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r17/1:/Table/1{3-4},raft] 54  rejected lease request repl=(n3,s3):2 seq=2 start=1777114281.610634398,0 type=LeaseExpiration exp=1777114287.644955059,0 pro=1777114281.644955059,0 acq=Request; current lease repl=(n3,s3):2 seq=2 start=1777114281.610634398,0 type=LeaseExpiration exp=1777114287.644955059,0 pro=1777114281.644955059,0 acq=Request; err: cannot replace lease repl=(n3,s3):2 seq=2 start=1777114281.610634398,0 type=LeaseExpiration exp=1777114287.644955059,0 pro=1777114281.644955059,0 acq=Request with repl=(n3,s3):2 seq=2 start=1777114281.610634398,0 type=LeaseExpiration exp=1777114287.644955059,0 pro=1777114281.644955059,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:22.662292 1007 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r57/1:/Table/5{4-5},raft] 55  rejected lease request repl=(n3,s3):2 seq=2 start=1777114282.611493487,0 type=LeaseExpiration exp=1777114288.620335659,0 pro=1777114282.620335659,0 acq=Request; current lease repl=(n3,s3):2 seq=2 start=1777114282.611493487,0 type=LeaseExpiration exp=1777114288.620335659,0 pro=1777114282.620335659,0 acq=Request; err: cannot replace lease repl=(n3,s3):2 seq=2 start=1777114282.611493487,0 type=LeaseExpiration exp=1777114288.620335659,0 pro=1777114282.620335659,0 acq=Request with repl=(n3,s3):2 seq=2 start=1777114282.611493487,0 type=LeaseExpiration exp=1777114288.620335659,0 pro=1777114282.620335659,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:25.660405 1001 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r64/1:/Table/6{1-2},raft] 56  rejected lease request repl=(n3,s3):2 seq=2 start=1777114285.612789588,0 type=LeaseExpiration exp=1777114291.621438967,0 pro=1777114285.621438967,0 acq=Request; current lease repl=(n3,s3):2 seq=2 start=1777114285.612789588,0 type=LeaseExpiration exp=1777114291.621438967,0 pro=1777114285.621438967,0 acq=Request; err: cannot replace lease repl=(n3,s3):2 seq=2 start=1777114285.612789588,0 type=LeaseExpiration exp=1777114291.621438967,0 pro=1777114285.621438967,0 acq=Request with repl=(n3,s3):2 seq=2 start=1777114285.612789588,0 type=LeaseExpiration exp=1777114291.621438967,0 pro=1777114285.621438967,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:26.678448 1116 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r39/1:/Table/3{5-6},raft] 57  rejected lease request repl=(n2,s2):2 seq=2 start=1777114286.613067401,0 type=LeaseExpiration exp=1777114292.626268743,0 pro=1777114286.626268743,0 acq=Request; current lease repl=(n2,s2):2 seq=2 start=1777114286.613067401,0 type=LeaseExpiration exp=1777114292.626268743,0 pro=1777114286.626268743,0 acq=Request; err: cannot replace lease repl=(n2,s2):2 seq=2 start=1777114286.613067401,0 type=LeaseExpiration exp=1777114292.626268743,0 pro=1777114286.626268743,0 acq=Request with repl=(n2,s2):2 seq=2 start=1777114286.613067401,0 type=LeaseExpiration exp=1777114292.626268743,0 pro=1777114286.626268743,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:27.666959 1026 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r66/1:/Table/6{3-4},raft] 58  rejected lease request repl=(n2,s2):2 seq=2 start=1777114287.613495283,0 type=LeaseExpiration exp=1777114293.625372262,0 pro=1777114287.625372262,0 acq=Request; current lease repl=(n2,s2):2 seq=2 start=1777114287.613495283,0 type=LeaseExpiration exp=1777114293.625372262,0 pro=1777114287.625372262,0 acq=Request; err: cannot replace lease repl=(n2,s2):2 seq=2 start=1777114287.613495283,0 type=LeaseExpiration exp=1777114293.625372262,0 pro=1777114287.625372262,0 acq=Request with repl=(n2,s2):2 seq=2 start=1777114287.613495283,0 type=LeaseExpiration exp=1777114293.625372262,0 pro=1777114287.625372262,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:28.681266 1096 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r38/1:/Table/3{4-5},raft] 59  rejected lease request repl=(n3,s3):2 seq=2 start=1777114288.614596996,0 type=LeaseExpiration exp=1777114294.628318155,0 pro=1777114288.628318155,0 acq=Request; current lease repl=(n3,s3):2 seq=2 start=1777114288.614596996,0 type=LeaseExpiration exp=1777114294.628318155,0 pro=1777114288.628318155,0 acq=Request; err: cannot replace lease repl=(n3,s3):2 seq=2 start=1777114288.614596996,0 type=LeaseExpiration exp=1777114294.628318155,0 pro=1777114288.628318155,0 acq=Request with repl=(n3,s3):2 seq=2 start=1777114288.614596996,0 type=LeaseExpiration exp=1777114294.628318155,0 pro=1777114288.628318155,0 acq=Request: ‹proposed under invalid lease›
